brand,title,sku,price,capacity
SAMSUNG,Bateria Para Galaxy M20/m30 Eb-bg580abu 5000mah C/ Nota Fiscal,1001  ,89.9,3001
SAMSUNG,Bateria Para Galaxy Note 8 N950/f Bn950aba Nova C/ Nota Fiscal,1002  ,89.9,3002
SAMSUNG,Bateria Para Galaxy J5 Smj500m/ds G530 J2 Prime C/ Nota Fiscal,1004  ,49.9,3003
SAMSUNG,"Bateria Para Galaxy A10s, A11, A20s A207 4000mah C/ Nota Fiscal",1005  ,89.9,3004
SAMSUNG,Bat.ria Compatível A11 A115 Nova,1005  ,89.9,3005
SAMSUNG,Bateria Para Galaxy A52 4g/5g S20 Fan 4g/5g Nova C/ Nota Fiscal,1006  ,99.9,3006
SAMSUNG,Bateria Para Galaxy S8 Plus G955 Bg955abe Nova +  + Nota Fiscal,1007  ,89.9,3007
SAMSUNG,Bateria Para Galaxy Note 20 Ultra Eb-bn985aby +  C/ Nota Fiscal,1008  ,399.9,3008
SAMSUNG,Bateria Para Galaxy J5 Metal Bj510cbe 3100mah C/ Nota Fiscal,1009  ,59.9,3009
SAMSUNG,Bateria Para Galaxy Note 9 Eb-bn965abu Nova C/ Nota Fiscal + ,1010  ,69.9,3010
SAMSUNG,Bateria Para Galaxy S7 Normal 3000mah Eb-bg930abe C/ Nota Fiscal,1011  ,69.9,3011
SAMSUNG,Bateria Compatível Com Galaxy S7 Edge Eb-bg935abe C/ Nota Fiscal,1012  ,69.9,3012
SAMSUNG,Bateria Para Galaxy A5 2017 Eb-ba520abe 3000mah C/ Nota Fiscal,1013  ,69.9,3013
SAMSUNG,Bateria Para Galaxy A01 Core A013 Eb-ba013aby Nova C/ Nota Fiscal,1017  ,89.9,3014
SAMSUNG,Bateria Para Galaxy J5 Sm-j500m G530 J2 Prime Nova C/ Nota Fiscal,1019  ,54.9,3015
SAMSUNG,Bateria Para Galaxy Gran Duos I9082 Eb535163lu Nova + Nota Fiscal,1020  ,44.9,3016
SAMSUNG,Bateria Para Galaxy J7 J400 J7 2015 J700 On 7 G600 C/ Nota Fiscal,1021  ,54.9,3017
SAMSUNG,Bateria Para Galaxy Note 4 Eb-bn910 Nova Garantia + Nota Fiscal,1022  ,44.9,3018
SAMSUNG,Bateria Para Galaxy Core 2 G355 Win Duos Eb585157 Com Nota Fiscal,1023  ,44.9,3019
SAMSUNG,Bateria Para Galaxy S5 Mini Bg800bbe Nova Garantia C/ Nota Fiscal,1025  ,39.9,3020
SAMSUNG,Bateria Para Galaxy J1 2016 J120 Gh96-10213a Nova Com Nota Fiscal,1026  ,44.9,3021
SAMSUNG,Bateria Para Galaxy A10 A105 M10 M105 A750 3300mah C/ Nota Fiscal,1039  ,89.9,3022
SAMSUNG,Bateria Para Galaxy Win 2 Duos G360 / J2 J200 Nova C/ Nota Fiscal,1040  ,49.9,3023
SAMSUNG,Bateria Para Galaxy S9 Plus G965 Eb-bg965abe Nova C/ Nota Fiscal,1042  ,89.9,3024
SAMSUNG,Bateria Para Galaxy J7 Prime J4/ J6 Plus Core G610 C/ Nota Fiscal,1048  ,59.9,3025
SAMSUNG,Bateria Para Galaxy J7 Metal Eb-bj710  3300mah C/ Nota Fiscal,1050  ,79.9,3026
SAMSUNG,Bateria Para Galaxy S21 Eb-bg991aby 4000mah Nova C/ Nota Fiscal,1078  ,109.9,3027
SAMSUNG,Bateria Para S23 Ultra Sm-918b/b Eb-bs918aby  Com Nota Fiscal,1080  ,159.9,3028
SAMSUNG,Bateria Para Galaxy A05 / A055 Wt-s-n28 Garantia  C/Nota Fiscal,1086  ,119.99,3029
SAMSUNG,Bateria Para Galaxy S20 Plus Eb-g985 Retirada C/ Nota Fiscal,1094  ,99.9,3030
